name,company,year,Price,kms_driven,fuel_type
maruti 800 ac,maruti,2007,60000,70000,Petrol
maruti wagon r,maruti,2007,135000,50000,Petrol
hyundai verna 1.6,hyundai,2012,600000,100000,Diesel
datsun redigo t,datsun,2017,250000,46000,Petrol
honda amaze vx,honda,2014,450000,141000,Diesel
maruti alto lx,maruti,2007,140000,125000,Petrol
hyundai xcent 1.2,hyundai,2016,550000,25000,Petrol
tata indigo grand,tata,2014,240000,60000,Petrol
hyundai creta 1.6,hyundai,2015,850000,25000,Petrol
maruti celerio green,maruti,2017,365000,78000,CNG
chevrolet sail 1.2,chevrolet,2015,260000,35000,Petrol
tata indigo grand,tata,2014,250000,100000,Petrol
toyota corolla altis,toyota,2018,1650000,25000,Petrol
maruti 800 ac,maruti,2007,60000,70000,Petrol
maruti wagon r,maruti,2007,135000,50000,Petrol
hyundai verna 1.6,hyundai,2012,600000,100000,Diesel
datsun redigo t,datsun,2017,250000,46000,Petrol
honda amaze vx,honda,2014,450000,141000,Diesel
maruti alto lx,maruti,2007,140000,125000,Petrol
hyundai xcent 1.2,hyundai,2016,550000,25000,Petrol
tata indigo grand,tata,2014,240000,60000,Petrol
hyundai creta 1.6,hyundai,2015,850000,25000,Petrol
maruti celerio green,maruti,2017,365000,78000,CNG
chevrolet sail 1.2,chevrolet,2015,260000,35000,Petrol
tata indigo grand,tata,2014,250000,100000,Petrol
toyota corolla altis,toyota,2018,1650000,25000,Petrol
maruti ciaz vxi,maruti,2015,585000,24000,Petrol
hyundai venue sx,hyundai,2019,1195000,5000,Diesel
chevrolet enjoy tcdi,chevrolet,2013,390000,33000,Diesel
jaguar xf 2.2,jaguar,2014,1964999,28000,Diesel
mercedes-benz new c-class,mercedes-benz,2013,1425000,59000,Diesel
maruti vitara brezza,maruti,2018,975000,4500,Diesel
audi q5 2.0,audi,2011,1190000,175900,Diesel
honda city v,honda,2018,930000,14500,Petrol
tata tigor 1.2,tata,2018,525000,15000,Petrol
audi a6 2.0,audi,2013,1735000,50000,Diesel
mercedes-benz new c-class,mercedes-benz,2012,1375000,33800,Diesel
skoda superb ambition,skoda,2011,450000,130400,Diesel
toyota corolla altis,toyota,2016,900000,50000,Petrol
toyota innova 2.5,toyota,2015,1300000,80000,Diesel
jeep compass 1.4,jeep,2019,1400000,10000,Petrol
mercedes-benz e-class e,mercedes-benz,2010,850000,119000,Petrol
hyundai i10 magna,hyundai,2014,229999,60000,Petrol
bmw 3 series,bmw,2013,1550000,75800,Diesel
audi q7 35,audi,2009,1250000,78000,Diesel
hyundai elantra crdi,hyundai,2012,625000,40000,Diesel
mahindra scorpio 1.99,mahindra,2014,1050000,50000,Diesel
honda city i,honda,2014,560000,74000,Diesel
maruti wagon r,maruti,2014,290000,64000,Petrol
maruti wagon r,maruti,2012,275000,60000,Petrol
mahindra scorpio lx,mahindra,2009,411000,120000,Diesel
hyundai santro xing,hyundai,2009,150000,79000,Petrol
hyundai grand i10,hyundai,2019,500000,15000,Petrol
maruti alto lxi,maruti,2006,100000,80000,Petrol
maruti swift dzire,maruti,2017,725000,18500,Diesel
maruti eeco 5,maruti,2018,401000,10200,Petrol
hyundai i20 sportz,hyundai,2018,750000,29000,Diesel
maruti omni maruti,maruti,2018,310000,28000,Petrol
maruti swift zdi,maruti,2016,665000,46000,Diesel
hyundai i20 2015-2017,hyundai,2014,465000,70000,Diesel
maruti alto lxi,maruti,2012,160000,60000,Petrol
mahindra jeep cl,mahindra,1996,250000,35000,Diesel
